transaction_date,product_id,product_name,category,units_sold,revenue,cogs,gross_margin,transactions,margin_pct,lag_1d,lag_7d,lag_14d,rolling_7d_avg,rolling_30d_avg,day_of_week,day_of_week_num,is_weekend,month,week,year,quarter,is_holiday_window,holiday_name,demand_multiplier,days_to_holiday
2024-03-09,P001,Butter Croissant,Pastry,23,80.5,27.6,52.9,10,65.71,8.0,30.0,12.0,13.285714285714286,16.933333333333334,Saturday,5,True,3,10,2024,1,False,,1.0,30
2024-03-10,P001,Butter Croissant,Pastry,11,38.5,13.2,25.299999999999997,9,65.71,23.0,20.0,40.0,12.285714285714286,17.233333333333334,Sunday,6,True,3,10,2024,1,False,,1.0,30
2024-03-11,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,7,65.71,11.0,10.0,19.0,11.0,17.0,Monday,0,False,3,11,2024,1,False,,1.0,30
2024-03-12,P001,Butter Croissant,Pastry,11,38.5,13.2,25.299999999999997,6,65.71,13.0,2.0,22.0,11.428571428571429,17.033333333333335,Tuesday,1,False,3,11,2024,1,False,,1.0,30
2024-03-13,P001,Butter Croissant,Pastry,15,52.5,18.0,34.5,7,65.71,11.0,16.0,3.0,12.714285714285714,16.966666666666665,Wednesday,2,False,3,11,2024,1,False,,1.0,30
2024-03-14,P001,Butter Croissant,Pastry,11,38.5,13.2,25.299999999999997,5,65.71,15.0,7.0,4.0,12.571428571428571,16.333333333333332,Thursday,3,False,3,11,2024,1,False,,1.0,30
2024-03-15,P001,Butter Croissant,Pastry,17,59.5,20.4,39.1,11,65.71,11.0,8.0,24.0,13.142857142857142,16.266666666666666,Friday,4,False,3,11,2024,1,False,,1.0,30
2024-03-16,P001,Butter Croissant,Pastry,17,59.5,20.4,39.1,8,65.71,17.0,23.0,30.0,14.428571428571429,15.8,Saturday,5,True,3,11,2024,1,False,,1.0,30
2024-03-17,P001,Butter Croissant,Pastry,20,70.0,24.0,46.0,11,65.71,17.0,11.0,20.0,13.571428571428571,15.833333333333334,Sunday,6,True,3,11,2024,1,False,,1.0,30
2024-03-18,P001,Butter Croissant,Pastry,3,10.5,3.6,6.9,1,65.71,20.0,13.0,10.0,14.857142857142858,16.166666666666668,Monday,0,False,3,12,2024,1,False,,1.0,30
2024-03-19,P001,Butter Croissant,Pastry,6,21.0,7.2,13.8,4,65.71,3.0,11.0,2.0,13.428571428571429,15.766666666666667,Tuesday,1,False,3,12,2024,1,False,,1.0,30
2024-03-20,P001,Butter Croissant,Pastry,6,21.0,7.2,13.799999999999999,4,65.71,6.0,15.0,16.0,12.714285714285714,14.233333333333333,Wednesday,2,False,3,12,2024,1,False,,1.0,30
2024-03-21,P001,Butter Croissant,Pastry,1,3.5,1.2,2.3,1,65.71,6.0,11.0,7.0,11.428571428571429,13.833333333333334,Thursday,3,False,3,12,2024,1,False,,1.0,30
2024-03-22,P001,Butter Croissant,Pastry,21,73.5,25.2,48.3,9,65.71,1.0,17.0,8.0,10.0,13.666666666666666,Friday,4,False,3,12,2024,1,False,,1.0,30
2024-03-23,P001,Butter Croissant,Pastry,11,38.5,13.2,25.299999999999997,7,65.71,21.0,17.0,23.0,10.571428571428571,13.933333333333334,Saturday,5,True,3,12,2024,1,False,,1.0,30
2024-03-24,P001,Butter Croissant,Pastry,22,77.0,26.4,50.599999999999994,12,65.71,11.0,20.0,11.0,9.714285714285714,13.866666666666667,Sunday,6,True,3,12,2024,1,False,,1.0,30
2024-03-25,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,6,65.71,22.0,3.0,13.0,10.0,14.166666666666666,Monday,0,False,3,13,2024,1,False,,1.0,30
2024-03-26,P001,Butter Croissant,Pastry,7,24.5,8.4,16.099999999999998,3,65.71,13.0,6.0,11.0,11.428571428571429,14.2,Tuesday,1,False,3,13,2024,1,False,,1.0,30
2024-03-27,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,8,65.71,7.0,6.0,15.0,11.571428571428571,13.1,Wednesday,2,False,3,13,2024,1,False,,1.0,30
2024-03-28,P001,Butter Croissant,Pastry,9,31.5,10.799999999999999,20.7,4,65.71,16.0,1.0,11.0,13.0,13.0,Thursday,3,False,3,13,2024,1,False,,1.0,30
2024-03-29,P001,Butter Croissant,Pastry,14,49.0,16.799999999999997,32.199999999999996,10,65.71,9.0,21.0,17.0,14.142857142857142,12.566666666666666,Friday,4,False,3,13,2024,1,False,,1.0,30
2024-03-30,P001,Butter Croissant,Pastry,22,77.0,26.4,50.599999999999994,10,65.71,14.0,11.0,17.0,13.142857142857142,12.933333333333334,Saturday,5,True,3,13,2024,1,False,,1.0,30
2024-03-31,P001,Butter Croissant,Pastry,19,66.5,22.799999999999997,43.699999999999996,10,65.71,22.0,22.0,20.0,14.714285714285714,13.533333333333333,Sunday,6,True,3,13,2024,1,False,,1.0,30
2024-04-01,P001,Butter Croissant,Pastry,5,17.5,6.0,11.5,3,65.71,19.0,13.0,3.0,14.285714285714286,13.366666666666667,Monday,0,False,4,14,2024,2,False,,1.0,30
2024-04-02,P001,Butter Croissant,Pastry,10,35.0,12.0,23.0,6,65.71,5.0,7.0,6.0,13.142857142857142,12.533333333333333,Tuesday,1,False,4,14,2024,2,False,,1.0,30
2024-04-03,P001,Butter Croissant,Pastry,12,42.0,14.399999999999999,27.599999999999998,8,65.71,10.0,16.0,6.0,13.571428571428571,12.2,Wednesday,2,False,4,14,2024,2,False,,1.0,30
2024-04-04,P001,Butter Croissant,Pastry,2,7.0,2.4,4.6,1,65.71,12.0,9.0,1.0,13.0,12.266666666666667,Thursday,3,False,4,14,2024,2,False,,1.0,30
2024-04-06,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,8,65.71,2.0,14.0,21.0,12.0,12.266666666666667,Saturday,5,True,4,14,2024,2,False,,1.0,30
2024-04-07,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,11,65.71,13.0,22.0,11.0,11.857142857142858,12.166666666666666,Sunday,6,True,4,14,2024,2,False,,1.0,30
2024-04-08,P001,Butter Croissant,Pastry,7,24.5,8.4,16.099999999999998,5,65.71,16.0,19.0,22.0,11.0,12.466666666666667,Monday,0,False,4,15,2024,2,False,,1.0,30
2024-04-09,P001,Butter Croissant,Pastry,15,52.5,18.0,34.5,9,65.71,7.0,5.0,13.0,9.285714285714286,12.433333333333334,Tuesday,1,False,4,15,2024,2,False,,1.0,30
2024-04-10,P001,Butter Croissant,Pastry,12,42.0,14.4,27.599999999999998,8,65.71,15.0,10.0,7.0,10.714285714285714,12.166666666666666,Wednesday,2,False,4,15,2024,2,False,,1.0,30
2024-04-11,P001,Butter Croissant,Pastry,10,35.0,12.0,23.0,6,65.71,12.0,12.0,16.0,11.0,12.2,Thursday,3,False,4,15,2024,2,False,,1.0,30
2024-04-12,P001,Butter Croissant,Pastry,10,35.0,12.0,23.0,6,65.71,10.0,2.0,9.0,10.714285714285714,12.1,Friday,4,False,4,15,2024,2,False,,1.0,30
2024-04-13,P001,Butter Croissant,Pastry,21,73.5,25.2,48.3,10,65.71,10.0,13.0,14.0,11.857142857142858,12.066666666666666,Saturday,5,True,4,15,2024,2,False,,1.0,29
2024-04-14,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,7,65.71,21.0,16.0,22.0,13.0,12.266666666666667,Sunday,6,True,4,15,2024,2,False,,1.0,28
2024-04-15,P001,Butter Croissant,Pastry,4,14.0,4.8,9.2,3,65.71,13.0,7.0,19.0,12.571428571428571,12.333333333333334,Monday,0,False,4,16,2024,2,False,,1.0,27
2024-04-16,P001,Butter Croissant,Pastry,10,35.0,12.0,23.0,7,65.71,4.0,15.0,5.0,12.142857142857142,11.9,Tuesday,1,False,4,16,2024,2,False,,1.0,26
2024-04-17,P001,Butter Croissant,Pastry,8,28.0,9.6,18.4,4,65.71,10.0,12.0,10.0,11.428571428571429,11.666666666666666,Wednesday,2,False,4,16,2024,2,False,,1.0,25
2024-04-18,P001,Butter Croissant,Pastry,3,10.5,3.5999999999999996,6.8999999999999995,3,65.71,8.0,10.0,12.0,10.857142857142858,11.266666666666667,Thursday,3,False,4,16,2024,2,False,,1.0,24
2024-04-19,P001,Butter Croissant,Pastry,9,31.5,10.799999999999999,20.7,7,65.71,3.0,10.0,2.0,9.857142857142858,11.266666666666667,Friday,4,False,4,16,2024,2,False,,1.0,23
2024-04-20,P001,Butter Croissant,Pastry,19,66.5,22.8,43.699999999999996,10,65.71,9.0,21.0,13.0,9.714285714285714,11.366666666666667,Saturday,5,True,4,16,2024,2,False,,1.0,22
2024-04-21,P001,Butter Croissant,Pastry,14,49.0,16.8,32.2,7,65.71,19.0,13.0,16.0,9.428571428571429,11.8,Sunday,6,True,4,16,2024,2,False,,1.0,21
2024-04-23,P001,Butter Croissant,Pastry,15,52.5,18.0,34.5,11,65.71,14.0,4.0,7.0,9.571428571428571,12.233333333333333,Tuesday,1,False,4,17,2024,2,False,,1.0,19
2024-04-24,P001,Butter Croissant,Pastry,19,66.5,22.8,43.7,8,65.71,15.0,10.0,15.0,11.142857142857142,12.033333333333333,Wednesday,2,False,4,17,2024,2,False,,1.0,18
2024-04-25,P001,Butter Croissant,Pastry,8,28.0,9.6,18.4,3,65.71,19.0,8.0,12.0,12.428571428571429,12.3,Thursday,3,False,4,17,2024,2,False,,1.0,17
2024-04-26,P001,Butter Croissant,Pastry,6,21.0,7.199999999999999,13.799999999999999,4,65.71,8.0,3.0,10.0,12.428571428571429,11.833333333333334,Friday,4,False,4,17,2024,2,False,,1.0,16
2024-04-27,P001,Butter Croissant,Pastry,10,35.0,12.0,23.0,6,65.71,6.0,9.0,10.0,12.857142857142858,11.6,Saturday,5,True,4,17,2024,2,False,,1.0,15
2024-04-28,P001,Butter Croissant,Pastry,15,52.5,18.0,34.5,7,65.71,10.0,19.0,21.0,13.0,11.7,Sunday,6,True,4,17,2024,2,False,,1.0,14
2024-04-29,P001,Butter Croissant,Pastry,10,35.0,12.0,23.0,5,65.71,15.0,14.0,13.0,12.428571428571429,11.666666666666666,Monday,0,False,4,18,2024,2,False,,1.0,13
2024-04-30,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,6,65.71,10.0,15.0,4.0,11.857142857142858,11.7,Tuesday,1,False,4,18,2024,2,False,,1.0,12
2024-05-01,P001,Butter Croissant,Pastry,7,24.5,8.4,16.099999999999998,4,65.71,16.0,19.0,10.0,12.0,11.766666666666667,Wednesday,2,False,5,18,2024,2,False,,1.0,11
2024-05-02,P001,Butter Croissant,Pastry,7,24.5,8.4,16.099999999999998,6,65.71,7.0,8.0,8.0,10.285714285714286,11.266666666666667,Thursday,3,False,5,18,2024,2,False,,1.0,10
2024-05-03,P001,Butter Croissant,Pastry,8,28.0,9.6,18.4,6,65.71,7.0,6.0,3.0,10.142857142857142,10.866666666666667,Friday,4,False,5,18,2024,2,False,,1.0,9
2024-05-04,P001,Butter Croissant,Pastry,9,31.5,10.8,20.7,7,65.71,8.0,10.0,9.0,10.428571428571429,10.966666666666667,Saturday,5,True,5,18,2024,2,False,,1.0,8
2024-05-05,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,10,65.71,9.0,15.0,19.0,10.285714285714286,10.933333333333334,Sunday,6,True,5,18,2024,2,False,,1.0,7
2024-05-06,P001,Butter Croissant,Pastry,8,28.0,9.6,18.4,4,65.71,16.0,10.0,14.0,10.428571428571429,11.066666666666666,Monday,0,False,5,19,2024,2,False,,1.0,6
2024-05-07,P001,Butter Croissant,Pastry,8,28.0,9.6,18.4,3,65.71,8.0,16.0,15.0,10.142857142857142,11.266666666666667,Tuesday,1,False,5,19,2024,2,False,,1.0,5
2024-05-09,P001,Butter Croissant,Pastry,35,122.5,42.0,80.5,19,65.71,8.0,7.0,19.0,9.0,11.1,Thursday,3,False,5,19,2024,2,True,Mother's Day,2.8,3
2024-05-10,P001,Butter Croissant,Pastry,9,31.5,10.8,20.7,6,65.71,35.0,7.0,8.0,13.0,11.733333333333333,Friday,4,False,5,19,2024,2,True,Mother's Day,2.8,2
2024-05-11,P001,Butter Croissant,Pastry,24,84.0,28.8,55.199999999999996,14,65.71,9.0,8.0,6.0,13.285714285714286,11.8,Saturday,5,True,5,19,2024,2,True,Mother's Day,2.8,1
2024-05-12,P001,Butter Croissant,Pastry,45,157.5,54.0,103.5,24,65.71,24.0,9.0,10.0,15.571428571428571,12.1,Sunday,6,True,5,19,2024,2,True,Mother's Day,2.8,0
2024-05-13,P001,Butter Croissant,Pastry,15,52.5,18.0,34.5,9,65.71,45.0,16.0,15.0,20.714285714285715,13.2,Monday,0,False,5,20,2024,2,True,Mother's Day,2.8,30
2024-05-14,P001,Butter Croissant,Pastry,24,84.0,28.8,55.199999999999996,15,65.71,15.0,8.0,10.0,20.571428571428573,13.366666666666667,Tuesday,1,False,5,20,2024,2,True,Mother's Day,2.8,30
2024-05-15,P001,Butter Croissant,Pastry,26,91.0,31.2,59.8,15,65.71,24.0,8.0,16.0,22.857142857142858,13.833333333333334,Wednesday,2,False,5,20,2024,2,True,Mother's Day,2.8,30
2024-05-16,P001,Butter Croissant,Pastry,3,10.5,3.5999999999999996,6.8999999999999995,2,65.71,26.0,35.0,7.0,25.428571428571427,14.0,Thursday,3,False,5,20,2024,2,False,,1.0,30
2024-05-17,P001,Butter Croissant,Pastry,6,21.0,7.2,13.8,3,65.71,3.0,9.0,7.0,20.857142857142858,13.666666666666666,Friday,4,False,5,20,2024,2,False,,1.0,30
2024-05-18,P001,Butter Croissant,Pastry,14,49.0,16.8,32.199999999999996,8,65.71,6.0,24.0,8.0,20.428571428571427,13.733333333333333,Saturday,5,True,5,20,2024,2,False,,1.0,29
2024-05-19,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,9,65.71,14.0,45.0,9.0,19.0,13.866666666666667,Sunday,6,True,5,20,2024,2,False,,1.0,28
2024-05-20,P001,Butter Croissant,Pastry,2,7.0,2.4,4.6,1,65.71,16.0,15.0,16.0,14.857142857142858,14.133333333333333,Monday,0,False,5,21,2024,2,False,,1.0,27
2024-05-21,P001,Butter Croissant,Pastry,4,14.0,4.8,9.2,2,65.71,2.0,24.0,8.0,13.0,14.1,Tuesday,1,False,5,21,2024,2,False,,1.0,26
2024-05-22,P001,Butter Croissant,Pastry,7,24.5,8.4,16.1,4,65.71,4.0,26.0,8.0,10.142857142857142,13.933333333333334,Wednesday,2,False,5,21,2024,2,False,,1.0,25
2024-05-23,P001,Butter Croissant,Pastry,19,66.5,22.799999999999997,43.699999999999996,10,65.71,7.0,3.0,35.0,7.428571428571429,13.533333333333333,Thursday,3,False,5,21,2024,2,False,,1.0,24
2024-05-24,P001,Butter Croissant,Pastry,3,10.5,3.5999999999999996,6.8999999999999995,2,65.71,19.0,6.0,9.0,9.714285714285714,13.7,Friday,4,False,5,21,2024,2,False,,1.0,23
2024-05-25,P001,Butter Croissant,Pastry,9,31.5,10.799999999999999,20.7,7,65.71,3.0,14.0,24.0,9.285714285714286,13.3,Saturday,5,True,5,21,2024,2,False,,1.0,22
2024-05-26,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,7,65.71,9.0,16.0,45.0,8.571428571428571,12.966666666666667,Sunday,6,True,5,21,2024,2,False,,1.0,21
2024-05-27,P001,Butter Croissant,Pastry,14,49.0,16.8,32.2,6,65.71,13.0,2.0,15.0,8.142857142857142,13.133333333333333,Monday,0,False,5,22,2024,2,False,,1.0,20
2024-05-28,P001,Butter Croissant,Pastry,8,28.0,9.6,18.4,4,65.71,14.0,4.0,24.0,9.857142857142858,13.4,Tuesday,1,False,5,22,2024,2,False,,1.0,19
2024-05-29,P001,Butter Croissant,Pastry,13,45.5,15.6,29.9,8,65.71,8.0,7.0,26.0,10.428571428571429,13.333333333333334,Wednesday,2,False,5,22,2024,2,False,,1.0,18
2024-05-30,P001,Butter Croissant,Pastry,16,56.0,19.2,36.8,9,65.71,13.0,19.0,3.0,11.285714285714286,13.266666666666667,Thursday,3,False,5,22,2024,2,False,,1.0,17
