shift_date,role,scheduled_count,recommended_count,staff_delta,hourly_rate,shift_hours,overstaffing_cost,is_weekend
2024-01-24,Store Associate,4,4,0,16,8,0,False
2024-01-24,Decorator,1,1,0,22,8,0,False
2024-01-24,Delivery,1,2,-1,17,8,0,False
2024-01-25,Head Baker,2,2,0,28,8,0,False
2024-01-25,Pastry Chef,2,2,0,24,8,0,False
2024-01-25,Kitchen Assistant,2,3,-1,18,8,0,False
2024-01-25,Store Associate,4,4,0,16,8,0,False
2024-01-25,Decorator,2,1,1,22,8,176,False
2024-01-25,Delivery,2,2,0,17,8,0,False
2024-01-26,Head Baker,2,2,0,28,8,0,False
2024-01-26,Pastry Chef,1,2,-1,24,8,0,False
2024-01-26,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-26,Store Associate,3,4,-1,16,8,0,False
2024-01-26,Decorator,1,1,0,22,8,0,False
2024-01-26,Delivery,2,2,0,17,8,0,False
2024-01-27,Head Baker,2,3,-1,28,8,0,True
2024-01-27,Pastry Chef,3,3,0,24,8,0,True
2024-01-27,Kitchen Assistant,4,5,-1,18,8,0,True
2024-01-27,Store Associate,6,7,-1,16,8,0,True
2024-01-27,Decorator,2,1,1,22,8,176,True
2024-01-27,Delivery,3,3,0,17,8,0,True
2024-01-28,Head Baker,3,3,0,28,8,0,True
2024-01-28,Pastry Chef,4,3,1,24,8,192,True
2024-01-28,Kitchen Assistant,4,5,-1,18,8,0,True
2024-01-28,Store Associate,7,7,0,16,8,0,True
2024-01-28,Decorator,1,1,0,22,8,0,True
2024-01-28,Delivery,3,3,0,17,8,0,True
2024-01-29,Head Baker,2,2,0,28,8,0,False
2024-01-29,Pastry Chef,2,2,0,24,8,0,False
2024-01-29,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-29,Store Associate,5,4,1,16,8,128,False
2024-01-29,Decorator,1,1,0,22,8,0,False
2024-01-29,Delivery,2,2,0,17,8,0,False
2024-01-30,Head Baker,2,2,0,28,8,0,False
2024-01-30,Pastry Chef,2,2,0,24,8,0,False
2024-01-30,Kitchen Assistant,4,3,1,18,8,144,False
2024-01-30,Store Associate,4,4,0,16,8,0,False
2024-01-30,Decorator,1,1,0,22,8,0,False
2024-01-30,Delivery,3,2,1,17,8,136,False
2024-01-31,Head Baker,2,2,0,28,8,0,False
2024-01-31,Pastry Chef,1,2,-1,24,8,0,False
2024-01-31,Kitchen Assistant,3,3,0,18,8,0,False
2024-01-31,Store Associate,5,4,1,16,8,128,False
2024-01-31,Decorator,1,1,0,22,8,0,False
2024-01-31,Delivery,2,2,0,17,8,0,False
2024-02-01,Head Baker,2,2,0,28,8,0,False
2024-02-01,Pastry Chef,2,2,0,24,8,0,False
2024-02-01,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-01,Store Associate,4,4,0,16,8,0,False
2024-02-01,Decorator,1,1,0,22,8,0,False
2024-02-01,Delivery,3,2,1,17,8,136,False
2024-02-02,Head Baker,2,2,0,28,8,0,False
2024-02-02,Pastry Chef,2,2,0,24,8,0,False
2024-02-02,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-02,Store Associate,4,4,0,16,8,0,False
2024-02-02,Decorator,1,1,0,22,8,0,False
2024-02-02,Delivery,2,2,0,17,8,0,False
2024-02-03,Head Baker,3,3,0,28,8,0,True
2024-02-03,Pastry Chef,3,3,0,24,8,0,True
2024-02-03,Kitchen Assistant,4,5,-1,18,8,0,True
2024-02-03,Store Associate,6,7,-1,16,8,0,True
2024-02-03,Decorator,1,1,0,22,8,0,True
2024-02-03,Delivery,2,3,-1,17,8,0,True
2024-02-04,Head Baker,4,3,1,28,8,224,True
2024-02-04,Pastry Chef,3,3,0,24,8,0,True
2024-02-04,Kitchen Assistant,4,5,-1,18,8,0,True
2024-02-04,Store Associate,6,7,-1,16,8,0,True
2024-02-04,Decorator,1,1,0,22,8,0,True
2024-02-04,Delivery,4,3,1,17,8,136,True
2024-02-05,Head Baker,2,2,0,28,8,0,False
2024-02-05,Pastry Chef,1,2,-1,24,8,0,False
2024-02-05,Kitchen Assistant,2,3,-1,18,8,0,False
2024-02-05,Store Associate,4,4,0,16,8,0,False
2024-02-05,Decorator,1,1,0,22,8,0,False
2024-02-05,Delivery,2,2,0,17,8,0,False
2024-02-06,Head Baker,1,2,-1,28,8,0,False
2024-02-06,Pastry Chef,2,2,0,24,8,0,False
2024-02-06,Kitchen Assistant,4,3,1,18,8,144,False
2024-02-06,Store Associate,4,4,0,16,8,0,False
2024-02-06,Decorator,1,1,0,22,8,0,False
2024-02-06,Delivery,2,2,0,17,8,0,False
2024-02-07,Head Baker,2,2,0,28,8,0,False
2024-02-07,Pastry Chef,3,2,1,24,8,192,False
2024-02-07,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-07,Store Associate,4,4,0,16,8,0,False
2024-02-07,Decorator,1,1,0,22,8,0,False
2024-02-07,Delivery,2,2,0,17,8,0,False
2024-02-08,Head Baker,2,2,0,28,8,0,False
2024-02-08,Pastry Chef,2,2,0,24,8,0,False
2024-02-08,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-08,Store Associate,4,4,0,16,8,0,False
2024-02-08,Decorator,1,1,0,22,8,0,False
2024-02-08,Delivery,2,2,0,17,8,0,False
2024-02-09,Head Baker,2,2,0,28,8,0,False
2024-02-09,Pastry Chef,2,2,0,24,8,0,False
2024-02-09,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-09,Store Associate,4,4,0,16,8,0,False
2024-02-09,Decorator,1,1,0,22,8,0,False
2024-02-09,Delivery,2,2,0,17,8,0,False
2024-02-10,Head Baker,3,3,0,28,8,0,True
2024-02-10,Pastry Chef,3,3,0,24,8,0,True
2024-02-10,Kitchen Assistant,3,5,-2,18,8,0,True
2024-02-10,Store Associate,6,7,-1,16,8,0,True
2024-02-10,Decorator,1,1,0,22,8,0,True
2024-02-10,Delivery,3,3,0,17,8,0,True
2024-02-11,Head Baker,4,4,0,28,8,0,True
2024-02-11,Pastry Chef,3,4,-1,24,8,0,True
2024-02-11,Kitchen Assistant,3,6,-3,18,8,0,True
2024-02-11,Store Associate,6,8,-2,16,8,0,True
2024-02-11,Decorator,1,2,-1,22,8,0,True
2024-02-11,Delivery,3,4,-1,17,8,0,True
2024-02-12,Head Baker,2,4,-2,28,8,0,False
2024-02-12,Pastry Chef,3,4,-1,24,8,0,False
2024-02-12,Kitchen Assistant,3,6,-3,18,8,0,False
2024-02-12,Store Associate,4,8,-4,16,8,0,False
2024-02-12,Decorator,1,2,-1,22,8,0,False
2024-02-12,Delivery,2,4,-2,17,8,0,False
2024-02-13,Head Baker,1,4,-3,28,8,0,False
2024-02-13,Pastry Chef,2,4,-2,24,8,0,False
2024-02-13,Kitchen Assistant,3,6,-3,18,8,0,False
2024-02-13,Store Associate,4,8,-4,16,8,0,False
2024-02-13,Decorator,1,2,-1,22,8,0,False
2024-02-13,Delivery,2,4,-2,17,8,0,False
2024-02-14,Head Baker,2,4,-2,28,8,0,False
2024-02-14,Pastry Chef,2,4,-2,24,8,0,False
2024-02-14,Kitchen Assistant,2,6,-4,18,8,0,False
2024-02-14,Store Associate,4,8,-4,16,8,0,False
2024-02-14,Decorator,1,2,-1,22,8,0,False
2024-02-14,Delivery,2,4,-2,17,8,0,False
2024-02-15,Head Baker,2,4,-2,28,8,0,False
2024-02-15,Pastry Chef,2,4,-2,24,8,0,False
2024-02-15,Kitchen Assistant,3,6,-3,18,8,0,False
2024-02-15,Store Associate,4,8,-4,16,8,0,False
2024-02-15,Decorator,1,2,-1,22,8,0,False
2024-02-15,Delivery,2,4,-2,17,8,0,False
2024-02-16,Head Baker,2,4,-2,28,8,0,False
2024-02-16,Pastry Chef,2,4,-2,24,8,0,False
2024-02-16,Kitchen Assistant,2,6,-4,18,8,0,False
2024-02-16,Store Associate,4,8,-4,16,8,0,False
2024-02-16,Decorator,1,2,-1,22,8,0,False
2024-02-16,Delivery,2,4,-2,17,8,0,False
2024-02-17,Head Baker,3,4,-1,28,8,0,True
2024-02-17,Pastry Chef,4,4,0,24,8,0,True
2024-02-17,Kitchen Assistant,4,6,-2,18,8,0,True
2024-02-17,Store Associate,6,8,-2,16,8,0,True
2024-02-17,Decorator,1,2,-1,22,8,0,True
2024-02-17,Delivery,4,4,0,17,8,0,True
2024-02-18,Head Baker,3,3,0,28,8,0,True
2024-02-18,Pastry Chef,3,3,0,24,8,0,True
2024-02-18,Kitchen Assistant,4,5,-1,18,8,0,True
2024-02-18,Store Associate,6,7,-1,16,8,0,True
2024-02-18,Decorator,1,1,0,22,8,0,True
2024-02-18,Delivery,3,3,0,17,8,0,True
2024-02-19,Head Baker,1,2,-1,28,8,0,False
2024-02-19,Pastry Chef,2,2,0,24,8,0,False
2024-02-19,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-19,Store Associate,5,4,1,16,8,128,False
2024-02-19,Decorator,1,1,0,22,8,0,False
2024-02-19,Delivery,2,2,0,17,8,0,False
2024-02-20,Head Baker,2,2,0,28,8,0,False
2024-02-20,Pastry Chef,2,2,0,24,8,0,False
2024-02-20,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-20,Store Associate,4,4,0,16,8,0,False
2024-02-20,Decorator,1,1,0,22,8,0,False
2024-02-20,Delivery,3,2,1,17,8,136,False
2024-02-21,Head Baker,2,2,0,28,8,0,False
2024-02-21,Pastry Chef,2,2,0,24,8,0,False
2024-02-21,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-21,Store Associate,3,4,-1,16,8,0,False
2024-02-21,Decorator,1,1,0,22,8,0,False
2024-02-21,Delivery,2,2,0,17,8,0,False
2024-02-22,Head Baker,2,2,0,28,8,0,False
2024-02-22,Pastry Chef,2,2,0,24,8,0,False
2024-02-22,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-22,Store Associate,3,4,-1,16,8,0,False
2024-02-22,Decorator,1,1,0,22,8,0,False
2024-02-22,Delivery,2,2,0,17,8,0,False
2024-02-23,Head Baker,3,2,1,28,8,224,False
2024-02-23,Pastry Chef,2,2,0,24,8,0,False
2024-02-23,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-23,Store Associate,4,4,0,16,8,0,False
2024-02-23,Decorator,1,1,0,22,8,0,False
2024-02-23,Delivery,2,2,0,17,8,0,False
2024-02-24,Head Baker,3,3,0,28,8,0,True
2024-02-24,Pastry Chef,3,3,0,24,8,0,True
2024-02-24,Kitchen Assistant,4,5,-1,18,8,0,True
2024-02-24,Store Associate,6,7,-1,16,8,0,True
2024-02-24,Decorator,1,1,0,22,8,0,True
2024-02-24,Delivery,3,3,0,17,8,0,True
2024-02-25,Head Baker,3,3,0,28,8,0,True
2024-02-25,Pastry Chef,3,3,0,24,8,0,True
2024-02-25,Kitchen Assistant,4,5,-1,18,8,0,True
2024-02-25,Store Associate,6,7,-1,16,8,0,True
2024-02-25,Decorator,1,1,0,22,8,0,True
2024-02-25,Delivery,3,3,0,17,8,0,True
2024-02-26,Head Baker,2,2,0,28,8,0,False
2024-02-26,Pastry Chef,2,2,0,24,8,0,False
2024-02-26,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-26,Store Associate,4,4,0,16,8,0,False
2024-02-26,Decorator,1,1,0,22,8,0,False
2024-02-26,Delivery,1,2,-1,17,8,0,False
2024-02-27,Head Baker,2,2,0,28,8,0,False
2024-02-27,Pastry Chef,2,2,0,24,8,0,False
2024-02-27,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-27,Store Associate,4,4,0,16,8,0,False
2024-02-27,Decorator,1,1,0,22,8,0,False
2024-02-27,Delivery,2,2,0,17,8,0,False
2024-02-28,Head Baker,2,2,0,28,8,0,False
2024-02-28,Pastry Chef,2,2,0,24,8,0,False
2024-02-28,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-28,Store Associate,4,4,0,16,8,0,False
2024-02-28,Decorator,1,1,0,22,8,0,False
2024-02-28,Delivery,2,2,0,17,8,0,False
2024-02-29,Head Baker,2,2,0,28,8,0,False
2024-02-29,Pastry Chef,2,2,0,24,8,0,False
2024-02-29,Kitchen Assistant,3,3,0,18,8,0,False
2024-02-29,Store Associate,4,4,0,16,8,0,False
2024-02-29,Decorator,1,1,0,22,8,0,False
2024-02-29,Delivery,2,2,0,17,8,0,False
2024-03-01,Head Baker,2,2,0,28,8,0,False
2024-03-01,Pastry Chef,2,2,0,24,8,0,False
2024-03-01,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-01,Store Associate,4,4,0,16,8,0,False
2024-03-01,Decorator,1,1,0,22,8,0,False
2024-03-01,Delivery,2,2,0,17,8,0,False
2024-03-02,Head Baker,3,3,0,28,8,0,True
2024-03-02,Pastry Chef,3,3,0,24,8,0,True
2024-03-02,Kitchen Assistant,4,5,-1,18,8,0,True
2024-03-02,Store Associate,6,7,-1,16,8,0,True
2024-03-02,Decorator,1,1,0,22,8,0,True
2024-03-02,Delivery,3,3,0,17,8,0,True
2024-03-03,Head Baker,3,3,0,28,8,0,True
2024-03-03,Pastry Chef,3,3,0,24,8,0,True
2024-03-03,Kitchen Assistant,4,5,-1,18,8,0,True
2024-03-03,Store Associate,6,7,-1,16,8,0,True
2024-03-03,Decorator,1,1,0,22,8,0,True
2024-03-03,Delivery,3,3,0,17,8,0,True
2024-03-04,Head Baker,2,2,0,28,8,0,False
2024-03-04,Pastry Chef,2,2,0,24,8,0,False
2024-03-04,Kitchen Assistant,4,3,1,18,8,144,False
2024-03-04,Store Associate,4,4,0,16,8,0,False
2024-03-04,Decorator,2,1,1,22,8,176,False
2024-03-04,Delivery,2,2,0,17,8,0,False
2024-03-05,Head Baker,2,2,0,28,8,0,False
2024-03-05,Pastry Chef,2,2,0,24,8,0,False
2024-03-05,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-05,Store Associate,4,4,0,16,8,0,False
2024-03-05,Decorator,1,1,0,22,8,0,False
2024-03-05,Delivery,2,2,0,17,8,0,False
2024-03-06,Head Baker,2,2,0,28,8,0,False
2024-03-06,Pastry Chef,2,2,0,24,8,0,False
2024-03-06,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-06,Store Associate,4,4,0,16,8,0,False
2024-03-06,Decorator,1,1,0,22,8,0,False
2024-03-06,Delivery,2,2,0,17,8,0,False
2024-03-07,Head Baker,2,2,0,28,8,0,False
2024-03-07,Pastry Chef,2,2,0,24,8,0,False
2024-03-07,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-07,Store Associate,4,4,0,16,8,0,False
2024-03-07,Decorator,1,1,0,22,8,0,False
2024-03-07,Delivery,1,2,-1,17,8,0,False
2024-03-08,Head Baker,2,2,0,28,8,0,False
2024-03-08,Pastry Chef,2,2,0,24,8,0,False
2024-03-08,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-08,Store Associate,5,4,1,16,8,128,False
2024-03-08,Decorator,1,1,0,22,8,0,False
2024-03-08,Delivery,3,2,1,17,8,136,False
2024-03-09,Head Baker,3,3,0,28,8,0,True
2024-03-09,Pastry Chef,3,3,0,24,8,0,True
2024-03-09,Kitchen Assistant,3,5,-2,18,8,0,True
2024-03-09,Store Associate,6,7,-1,16,8,0,True
2024-03-09,Decorator,2,1,1,22,8,176,True
2024-03-09,Delivery,3,3,0,17,8,0,True
2024-03-10,Head Baker,3,3,0,28,8,0,True
2024-03-10,Pastry Chef,3,3,0,24,8,0,True
2024-03-10,Kitchen Assistant,3,5,-2,18,8,0,True
2024-03-10,Store Associate,6,7,-1,16,8,0,True
2024-03-10,Decorator,1,1,0,22,8,0,True
2024-03-10,Delivery,3,3,0,17,8,0,True
2024-03-11,Head Baker,3,2,1,28,8,224,False
2024-03-11,Pastry Chef,2,2,0,24,8,0,False
2024-03-11,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-11,Store Associate,4,4,0,16,8,0,False
2024-03-11,Decorator,1,1,0,22,8,0,False
2024-03-11,Delivery,2,2,0,17,8,0,False
2024-03-12,Head Baker,2,2,0,28,8,0,False
2024-03-12,Pastry Chef,2,2,0,24,8,0,False
2024-03-12,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-12,Store Associate,3,4,-1,16,8,0,False
2024-03-12,Decorator,1,1,0,22,8,0,False
2024-03-12,Delivery,2,2,0,17,8,0,False
2024-03-13,Head Baker,1,2,-1,28,8,0,False
2024-03-13,Pastry Chef,2,2,0,24,8,0,False
2024-03-13,Kitchen Assistant,4,3,1,18,8,144,False
2024-03-13,Store Associate,4,4,0,16,8,0,False
2024-03-13,Decorator,1,1,0,22,8,0,False
2024-03-13,Delivery,2,2,0,17,8,0,False
2024-03-14,Head Baker,2,2,0,28,8,0,False
2024-03-14,Pastry Chef,2,2,0,24,8,0,False
2024-03-14,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-14,Store Associate,3,4,-1,16,8,0,False
2024-03-14,Decorator,1,1,0,22,8,0,False
2024-03-14,Delivery,2,2,0,17,8,0,False
2024-03-15,Head Baker,2,2,0,28,8,0,False
2024-03-15,Pastry Chef,2,2,0,24,8,0,False
2024-03-15,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-15,Store Associate,4,4,0,16,8,0,False
2024-03-15,Decorator,1,1,0,22,8,0,False
2024-03-15,Delivery,2,2,0,17,8,0,False
2024-03-16,Head Baker,3,3,0,28,8,0,True
2024-03-16,Pastry Chef,3,3,0,24,8,0,True
2024-03-16,Kitchen Assistant,4,5,-1,18,8,0,True
2024-03-16,Store Associate,6,7,-1,16,8,0,True
2024-03-16,Decorator,1,1,0,22,8,0,True
2024-03-16,Delivery,3,3,0,17,8,0,True
2024-03-17,Head Baker,3,3,0,28,8,0,True
2024-03-17,Pastry Chef,3,3,0,24,8,0,True
2024-03-17,Kitchen Assistant,4,5,-1,18,8,0,True
2024-03-17,Store Associate,6,7,-1,16,8,0,True
2024-03-17,Decorator,1,1,0,22,8,0,True
2024-03-17,Delivery,3,3,0,17,8,0,True
2024-03-18,Head Baker,2,2,0,28,8,0,False
2024-03-18,Pastry Chef,2,2,0,24,8,0,False
2024-03-18,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-18,Store Associate,4,4,0,16,8,0,False
2024-03-18,Decorator,1,1,0,22,8,0,False
2024-03-18,Delivery,2,2,0,17,8,0,False
2024-03-19,Head Baker,2,2,0,28,8,0,False
2024-03-19,Pastry Chef,3,2,1,24,8,192,False
2024-03-19,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-19,Store Associate,4,4,0,16,8,0,False
2024-03-19,Decorator,1,1,0,22,8,0,False
2024-03-19,Delivery,2,2,0,17,8,0,False
2024-03-20,Head Baker,2,2,0,28,8,0,False
2024-03-20,Pastry Chef,2,2,0,24,8,0,False
2024-03-20,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-20,Store Associate,4,4,0,16,8,0,False
2024-03-20,Decorator,1,1,0,22,8,0,False
2024-03-20,Delivery,2,2,0,17,8,0,False
2024-03-21,Head Baker,2,2,0,28,8,0,False
2024-03-21,Pastry Chef,2,2,0,24,8,0,False
2024-03-21,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-21,Store Associate,4,4,0,16,8,0,False
2024-03-21,Decorator,1,1,0,22,8,0,False
2024-03-21,Delivery,2,2,0,17,8,0,False
2024-03-22,Head Baker,2,2,0,28,8,0,False
2024-03-22,Pastry Chef,2,2,0,24,8,0,False
2024-03-22,Kitchen Assistant,3,3,0,18,8,0,False
2024-03-22,Store Associate,4,4,0,16,8,0,False
2024-03-22,Decorator,1,1,0,22,8,0,False
2024-03-22,Delivery,2,2,0,17,8,0,False
2024-03-23,Head Baker,4,3,1,28,8,224,True
2024-03-23,Pastry Chef,3,3,0,24,8,0,True
2024-03-23,Kitchen Assistant,4,5,-1,18,8,0,True
2024-03-23,Store Associate,6,7,-1,16,8,0,True
2024-03-23,Decorator,2,1,1,22,8,176,True
2024-03-23,Delivery,3,3,0,17,8,0,True
